Epoch,Train_Accuracy_%,Train_Loss,Val_Accuracy_%,Val_Loss,Final_Bias,Final_Theta1,Final_Theta2,Final_Theta3,Final_Theta4
1,100.0,0.68041,100.0,0.613324,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
2,100.0,0.612336,100.0,0.556177,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
3,100.0,0.554278,100.0,0.507248,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
4,100.0,0.50462,100.0,0.465177,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
5,100.0,0.461969,100.0,0.428819,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
6,100.0,0.425149,100.0,0.397226,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
7,100.0,0.393187,100.0,0.369615,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
8,100.0,0.365282,100.0,0.345347,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
9,100.0,0.340778,100.0,0.323897,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
10,100.0,0.31914,100.0,0.304836,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
11,100.0,0.29993,100.0,0.287812,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
12,100.0,0.282786,100.0,0.272533,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
13,100.0,0.267411,100.0,0.258757,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
14,100.0,0.253559,100.0,0.246282,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
15,100.0,0.241026,100.0,0.234942,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
16,100.0,0.229639,100.0,0.224592,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
17,100.0,0.219255,100.0,0.215114,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
18,100.0,0.20975,100.0,0.206405,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
19,100.0,0.201022,100.0,0.198378,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
20,100.0,0.192982,100.0,0.190957,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
21,100.0,0.185554,100.0,0.184078,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
22,100.0,0.178672,100.0,0.177686,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
23,100.0,0.17228,100.0,0.171731,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
24,100.0,0.166328,100.0,0.16617,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
25,100.0,0.160774,100.0,0.160967,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
26,100.0,0.155578,100.0,0.156088,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
27,100.0,0.150709,100.0,0.151505,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
28,100.0,0.146137,100.0,0.147191,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
29,100.0,0.141836,100.0,0.143124,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
30,100.0,0.137783,100.0,0.139283,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
31,100.0,0.133957,100.0,0.135651,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
32,100.0,0.13034,100.0,0.13221,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
33,100.0,0.126916,100.0,0.128947,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
34,100.0,0.123669,100.0,0.125847,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
35,100.0,0.120586,100.0,0.122899,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
36,100.0,0.117656,100.0,0.120092,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
37,100.0,0.114867,100.0,0.117416,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
38,100.0,0.112209,100.0,0.114863,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
39,100.0,0.109674,100.0,0.112423,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
40,100.0,0.107253,100.0,0.11009,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
41,100.0,0.104938,100.0,0.107857,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
42,100.0,0.102723,100.0,0.105717,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
43,100.0,0.100602,100.0,0.103665,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
44,100.0,0.098568,100.0,0.101695,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
45,100.0,0.096617,100.0,0.099803,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
46,100.0,0.094743,100.0,0.097984,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
47,100.0,0.092943,100.0,0.096234,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
48,100.0,0.091211,100.0,0.094548,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
49,100.0,0.089544,100.0,0.092924,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
50,100.0,0.087938,100.0,0.091358,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
51,100.0,0.08639,100.0,0.089848,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
52,100.0,0.084898,100.0,0.088389,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
53,100.0,0.083457,100.0,0.08698,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
54,100.0,0.082066,100.0,0.085618,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
55,100.0,0.080721,100.0,0.0843,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
56,100.0,0.079422,100.0,0.083025,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
57,100.0,0.078164,100.0,0.081791,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
58,100.0,0.076947,100.0,0.080595,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
59,100.0,0.075768,100.0,0.079436,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
60,100.0,0.074626,100.0,0.078312,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
61,100.0,0.073519,100.0,0.077221,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
62,100.0,0.072445,100.0,0.076162,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
63,100.0,0.071403,100.0,0.075134,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
64,100.0,0.070392,100.0,0.074135,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
65,100.0,0.069409,100.0,0.073165,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
66,100.0,0.068455,100.0,0.072221,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
67,100.0,0.067527,100.0,0.071302,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
68,100.0,0.066625,100.0,0.070409,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
69,100.0,0.065747,100.0,0.069539,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
70,100.0,0.064893,100.0,0.068692,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
71,100.0,0.064062,100.0,0.067867,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
72,100.0,0.063252,100.0,0.067063,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
73,100.0,0.062464,100.0,0.066279,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
74,100.0,0.061695,100.0,0.065514,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
75,100.0,0.060946,100.0,0.064769,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
76,100.0,0.060215,100.0,0.064041,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
77,100.0,0.059502,100.0,0.06333,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
78,100.0,0.058806,100.0,0.062637,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
79,100.0,0.058127,100.0,0.061959,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
80,100.0,0.057464,100.0,0.061298,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
81,100.0,0.056817,100.0,0.060651,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
82,100.0,0.056184,100.0,0.060019,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
83,100.0,0.055566,100.0,0.0594,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
84,100.0,0.054962,100.0,0.058796,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
85,100.0,0.054372,100.0,0.058204,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
86,100.0,0.053794,100.0,0.057626,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
87,100.0,0.053229,100.0,0.057059,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
88,100.0,0.052676,100.0,0.056504,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
89,100.0,0.052135,100.0,0.055961,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
90,100.0,0.051605,100.0,0.05543,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
91,100.0,0.051086,100.0,0.054908,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
92,100.0,0.050578,100.0,0.054398,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
93,100.0,0.050081,100.0,0.053897,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
94,100.0,0.049593,100.0,0.053407,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
95,100.0,0.049115,100.0,0.052926,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
96,100.0,0.048647,100.0,0.052454,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
97,100.0,0.048188,100.0,0.051991,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
98,100.0,0.047738,100.0,0.051537,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
99,100.0,0.047296,100.0,0.051092,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
100,100.0,0.046863,100.0,0.050655,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
